GEO.id,GEO.id2,Geography,Estimate; SEX AND AGE - 20 to 24 years,Estimate; SEX AND AGE - 25 to 34 years,Estimate; SEX AND AGE - 35 to 44 years,Estimate; SEX AND AGE - 45 to 54 years,Estimate; SEX AND AGE - 55 to 59 years,Estimate; SEX AND AGE - 60 to 64 years,Estimate; SEX AND AGE - 65 to 74 years,Estimate; SEX AND AGE - 75 to 84 years,Estimate; SEX AND AGE - 85 years and over
0500000US48475,48475,"Ward County, Texas",766,1564,1330,1385,733,527,891,585,163
0500000US48477,48477,"Washington County, Texas",2324,3352,3762,4331,2462,2300,3699,2100,1081
0500000US48479,48479,"Webb County, Texas",21226,35745,35365,29289,11349,10181,13363,6590,2882
0500000US48481,48481,"Wharton County, Texas",2604,5003,4653,5305,2843,2511,3535,2032,985
0500000US48483,48483,"Wheeler County, Texas",273,697,620,729,462,284,576,297,131
0500000US48485,48485,"Wichita County, Texas",12556,19764,14976,15655,8151,7262,9710,5801,2815
0500000US48487,48487,"Wilbarger County, Texas",819,1600,1424,1738,1115,663,1216,729,219
0500000US48489,48489,"Willacy County, Texas",2015,3200,2926,2312,1146,1021,1840,918,306
0500000US48491,48491,"Williamson County, Texas",27018,68842,80298,66779,26653,23126,33260,14602,5602
0500000US48493,48493,"Wilson County, Texas",2631,5000,5759,7078,3348,3123,4097,1697,966
0500000US48495,48495,"Winkler County, Texas",580,1032,925,1015,456,333,461,215,179
0500000US48497,48497,"Wise County, Texas",3616,7679,7365,9299,4683,3446,5632,2460,755
0500000US48499,48499,"Wood County, Texas",2267,3940,4246,5256,3330,3080,6597,3643,1120
0500000US48501,48501,"Yoakum County, Texas",524,993,1075,944,643,267,540,398,12
0500000US48503,48503,"Young County, Texas",801,1888,2066,2357,1440,1174,1852,1145,546
0500000US48505,48505,"Zapata County, Texas",1265,1909,1687,1469,626,598,1016,527,138
0500000US48507,48507,"Zavala County, Texas",1075,1446,1404,1255,629,677,829,509,173
